num_rolls,num_experiments,mean,variance
43,10000,150.5015,124.71099775
43,50000,150.53318,125.6620190876
43,100000,150.51256,125.7929822464
44,100,154.11,103.51790000000001
44,500,153.688,141.962656
44,1000,154.133,141.005311
44,5000,153.7518,131.00659676
44,10000,154.1974,127.26203324000002
44,50000,153.989,128.633079
44,100000,154.07539,129.4230463479
45,100,158.3,138.47000000000003
45,500,157.702,145.633196
45,1000,157.949,133.42439900000002
45,5000,157.36,134.3848
45,10000,157.3758,129.27657436
45,50000,157.48888,131.7657563456
45,100000,157.44919,132.37775834389998
46,100,158.71,126.5459
46,500,160.262,127.481356
46,1000,162.127,131.18087100000002
46,5000,161.15,138.8263
46,10000,160.9249,130.69245998999997
46,50000,160.98038,135.0383550556
46,100000,161.00779,133.60318931589998
47,100,165.23,132.9371
47,500,164.802,137.438796
